Subject,Number,Course Title
GS,199,Intro to Engineering for PREP
GWS,100,Intro Gender & Women's Studies
GWS,201,"Race, Gender & Power"
GWS,255,"Queer Lives, Queer Politics"
GWS,275,The Politics of Fashion
GWS,370,Queer Theory
GWS,387,History of Sexuality in U.S.
HDFS,101,Issues & Careers in HDFS
HDFS,105,Intro to Human Development
HDFS,120,Intro to Family Studies
HDFS,199,Grief & Loss
HDFS,208,Child Fam with Special Needs
HDFS,220,Families in Global Perspective
HDFS,225,Close Relationships
HDFS,290,Intro to Research Methods
HDFS,301,Infancy & Early Childhood
HDFS,340,"Gender, Relationshps & Society"
HDFS,379,Learning Exp South Africa
HDFS,401,Socialization and Development
HDFS,405,Adolescent Development
HDFS,425,Family Stress and Change
HIST,100,Global History
HIST,103,History of Everything
HIST,141,Western Civ to 1660
HIST,142,Western Civ Since 1660
HIST,171,US History to 1877
HIST,172,US History Since 1877
HIST,240,Ancient Greek Civilization
HIST,257,"Terrorism, Past and Present"
HIST,258,20thC World to Midcentury
HIST,259,20thC World from Midcentury
HIST,268,The Darwinian Revolution
HIST,269,Jewish History Since 1700
